Match URL,Team 1,Team 2,Score 1,Score 2,Event,Date
https://www.hltv.org/matches/2380290/marsborne-vs-might-pgl-bucharest-2025-north-america-closed-qualifier,Marsborne,MIGHT,2,0,PGL Bucharest 2025 North America Closed Qualifier,2025-03-05
https://www.hltv.org/matches/2380140/mibr-fe-vs-thekillaz-fe-esl-impact-league-season-7-south-america,MIBR fe,thekillaz fe,2,1,ESL Impact League Season 7 South America,2025-03-05
https://www.hltv.org/matches/2380225/yawara-vs-pain-academy-cct-season-2-south-america-series-8,Yawara,paiN Academy,0,2,CCT Season 2 South America Series 8,2025-03-05
https://www.hltv.org/matches/2380293/aetheris-vs-take-flyte-pgl-bucharest-2025-north-america-closed-qualifier,Aetheris,Take Flyte,0,2,PGL Bucharest 2025 North America Closed Qualifier,2025-03-05
https://www.hltv.org/matches/2380139/brave-bears-vs-bounty-hunters-fe-esl-impact-league-season-7-south-america,Brave Bears,Bounty Hunters fe,0,2,ESL Impact League Season 7 South America,2025-03-05
https://www.hltv.org/matches/2380289/mcs-vs-fisher-college-pgl-bucharest-2025-north-america-closed-qualifier,MCS,Fisher College,2,0,PGL Bucharest 2025 North America Closed Qualifier,2025-03-05
https://www.hltv.org/matches/2380038/furia-vs-m80-esl-pro-league-season-21-stage-1,FURIA,M80,2,1,ESL Pro League Season 21 Stage 1,2025-03-05
https://www.hltv.org/matches/2380301/incontrol-vs-rolling-stone-pgl-bucharest-2025-north-america-closed-qualifier,InControl,Rolling Stone,1,0,PGL Bucharest 2025 North America Closed Qualifier,2025-03-05
https://www.hltv.org/matches/2380150/9-pandas-vs-parivision-cct-season-2-europe-series-20,9 Pandas,PARIVISION,1,2,CCT Season 2 Europe Series 20,2025-03-05
https://www.hltv.org/matches/2380136/nomercy-fe-vs-akuma-esl-impact-league-season-7-europe,nomercy fe,Akuma,0,2,ESL Impact League Season 7 Europe,2025-03-05
https://www.hltv.org/matches/2380135/let-her-cook-vs-dms-esl-impact-league-season-7-europe,Let Her Cook,DMS,0,2,ESL Impact League Season 7 Europe,2025-03-05
https://www.hltv.org/matches/2380224/swingers-vs-floripa-stars-cct-season-2-south-america-series-8,Swingers,Floripa Stars,2,0,CCT Season 2 South America Series 8,2025-03-05
https://www.hltv.org/matches/2380297/mythic-vs-regain-pgl-bucharest-2025-north-america-closed-qualifier,Mythic,regain,0,1,PGL Bucharest 2025 North America Closed Qualifier,2025-03-05
https://www.hltv.org/matches/2380160/spirit-academy-vs-fnatic-cct-season-2-europe-series-19,Spirit Academy,fnatic,0,2,CCT Season 2 Europe Series 19,2025-03-05
https://www.hltv.org/matches/2380037/pain-vs-nemiga-esl-pro-league-season-21-stage-1,paiN,Nemiga,2,1,ESL Pro League Season 21 Stage 1,2025-03-05
https://www.hltv.org/matches/2380266/pcific-vs-benched-esea-advanced-season-52-europe,PCIFIC,benched,1,2,ESEA Advanced Season 52 Europe,2025-03-05
https://www.hltv.org/matches/2380288/wildcard-vs-davai-napadai-pgl-bucharest-2025-north-america-closed-qualifier,Wildcard,Davai Napadai,2,0,PGL Bucharest 2025 North America Closed Qualifier,2025-03-05
https://www.hltv.org/matches/2380296/bluejays-vs-makersmeetyou-pgl-bucharest-2025-north-america-closed-qualifier,BLUEJAYS,MakersMeetYou,2,0,PGL Bucharest 2025 North America Closed Qualifier,2025-03-05
https://www.hltv.org/matches/2380292/complexity-vs-aether-pgl-bucharest-2025-north-america-closed-qualifier,Complexity,Aether,2,0,PGL Bucharest 2025 North America Closed Qualifier,2025-03-05
https://www.hltv.org/matches/2380300/getting-info-vs-wanted-goons-pgl-bucharest-2025-north-america-closed-qualifier,Getting Info,Wanted Goons,1,0,PGL Bucharest 2025 North America Closed Qualifier,2025-03-05
https://www.hltv.org/matches/2380149/fnatic-vs-gun5-cct-season-2-europe-series-20,fnatic,GUN5,2,1,CCT Season 2 Europe Series 20,2025-03-05
https://www.hltv.org/matches/2380196/leo-vs-johnny-speeds-european-pro-league-season-23,Leo,Johnny Speeds,2,0,European Pro League Season 23,2025-03-05
https://www.hltv.org/matches/2380159/gtz-vs-iberian-soul-cct-season-2-europe-series-19,GTZ,Iberian Soul,2,1,CCT Season 2 Europe Series 19,2025-03-05
https://www.hltv.org/matches/2380269/oseyan-vs-wildcard-academy-esea-advanced-season-52-europe,Oseyan,Wildcard Academy,2,1,ESEA Advanced Season 52 Europe,2025-03-05
https://www.hltv.org/matches/2380108/unity-vs-esc-yalla-compass-winter-2025,UNiTY,ESC,2,1,YaLLa Compass Winter 2025,2025-03-05
https://www.hltv.org/matches/2380036/flyquest-vs-tyloo-esl-pro-league-season-21-stage-1,FlyQuest,TYLOO,1,2,ESL Pro League Season 21 Stage 1,2025-03-05
https://www.hltv.org/matches/2380201/ence-academy-vs-eclot-european-pro-league-season-23,ENCE Academy,ECLOT,1,2,European Pro League Season 23,2025-03-05
https://www.hltv.org/matches/2380148/partizan-vs-og-cct-season-2-europe-series-20,Partizan,OG,0,2,CCT Season 2 Europe Series 20,2025-03-05
https://www.hltv.org/matches/2380158/9-pandas-vs-gun5-cct-season-2-europe-series-19,9 Pandas,GUN5,0,2,CCT Season 2 Europe Series 19,2025-03-05
https://www.hltv.org/matches/2380147/gtz-vs-monte-cct-season-2-europe-series-20,GTZ,Monte,0,2,CCT Season 2 Europe Series 20,2025-03-05
https://www.hltv.org/matches/2380107/eyeballers-vs-kono-yalla-compass-winter-2025,EYEBALLERS,kONO,0,2,YaLLa Compass Winter 2025,2025-03-05
https://www.hltv.org/matches/2380223/players-vs-bounty-hunters-fe-cct-season-2-south-america-series-8,Players,Bounty Hunters fe,2,0,CCT Season 2 South America Series 8,2025-03-04
https://www.hltv.org/matches/2380222/uno-mille-vs-shinden-cct-season-2-south-america-series-8,UNO MILLE,ShindeN,0,2,CCT Season 2 South America Series 8,2025-03-04
https://www.hltv.org/matches/2380035/furia-vs-nrg-esl-pro-league-season-21-stage-1,FURIA,NRG,2,1,ESL Pro League Season 21 Stage 1,2025-03-04
https://www.hltv.org/matches/2380265/alaska-vs-lfo-3-esea-advanced-season-52-europe,ALASKA,LFO 3,1,2,ESEA Advanced Season 52 Europe,2025-03-04
https://www.hltv.org/matches/2380221/gamehunters-vs-2070-cct-season-2-south-america-series-8,GameHunters,2070,2,1,CCT Season 2 South America Series 8,2025-03-04
https://www.hltv.org/matches/2380157/partizan-vs-bcgame-cct-season-2-europe-series-19,Partizan,BC.Game,1,2,CCT Season 2 Europe Series 19,2025-03-04
https://www.hltv.org/matches/2380262/virtual-cottage-vs-lazer-cats-esea-advanced-season-52-europe,Virtual Cottage,Lazer Cats,0,2,ESEA Advanced Season 52 Europe,2025-03-04
https://www.hltv.org/matches/2380263/genone-vs-insilio-esea-advanced-season-52-europe,GenOne,Insilio,1,2,ESEA Advanced Season 52 Europe,2025-03-04
https://www.hltv.org/matches/2379854/monte-vs-iberian-soul-cct-season-2-europe-series-20,Monte,Iberian Soul,0,2,CCT Season 2 Europe Series 20,2025-03-04
https://www.hltv.org/matches/2380033/pain-vs-lynn-vision-esl-pro-league-season-21-stage-1,paiN,Lynn Vision,2,1,ESL Pro League Season 21 Stage 1,2025-03-04
https://www.hltv.org/matches/2380034/3dmax-vs-m80-esl-pro-league-season-21-stage-1,3DMAX,M80,2,0,ESL Pro League Season 21 Stage 1,2025-03-04
